task_id,project,state,status,kt_tests,kt_killed,kt_mutants,kt_survived,kt_nocov,kt_ms,kt_cpr,kt_epr,kt_kpt,kt_secs,kt_lc,kt_bc,kt_ic,kt_lcp,kt_bcp,kt_icp,f_tests,f_killed,f_mutants,f_survived,f_nocov,f_ms,f_cpr,f_epr,f_kpt,f_secs,f_lc,f_bc,f_ic,f_lcp,f_bcp,f_icp,mutants,d_ms_pp,d_lc_pp,d_bc_pp,d_ic_pp,d_kpt,newly_killed,lost_kills,added_tests,seed_health,suite_green
SparkPodSpec_copyFrom,batch-processing-gateway,completed,COMPLETED,11,0,9,0,9,0.0,True,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,18,0,9,0,9,0.0,True,True,0.0,54.335,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,0.0,0,0,7,GREEN,True
ApplicationSubmissionHelper_getSparkConf,batch-processing-gateway,completed,COMPLETED,12,8,12,4,0,66.67,True,False,0.6667,,93.55,88.46,94.12,0.0,0.0,0.0,16,8,12,4,0,66.67,True,False,0.5,26.403,87.1,76.92,88.24,0.0,0.0,0.0,12,0.0,-6.45,-11.54,-5.88,-0.1667,0,0,4,GREEN_FILTERED,True
SubmissionSummary_copyFrom,batch-processing-gateway,completed,COMPLETED,8,26,34,7,1,76.47,True,False,3.25,,98.51,70.0,98.63,0.0,0.0,0.0,8,26,34,7,1,76.47,True,False,3.25,86.104,94.03,56.67,94.98,0.0,0.0,0.0,34,0.0,-4.48,-13.33,-3.65,0.0,0,0,0,GREEN_FILTERED,True
ApplicationSubmissionHelper_getDriverSpec,batch-processing-gateway,completed,COMPLETED,10,0,37,0,37,0.0,True,False,0.0,,33.9,41.67,26.55,0.0,0.0,0.0,10,0,37,0,37,0.0,True,False,0.0,97.786,0.0,0.0,0.0,0.0,0.0,0.0,37,0,-33.9,-41.67,-26.55,0.0,0,0,0,GREEN_FILTERED,True
ApplicationSubmissionHelper_populateEnv,batch-processing-gateway,completed,COMPLETED,9,7,28,6,15,25.0,True,False,0.7778,,38.46,43.75,41.86,0.0,0.0,0.0,13,7,28,6,15,25.0,True,False,0.5385,69.525,38.46,43.75,41.86,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,-0.2393,0,0,4,GREEN_FILTERED,True
ApplicationSubmissionHelper_getExecutorSpec,batch-processing-gateway,completed,COMPLETED,11,10,37,19,8,27.03,True,False,0.9091,,66.15,50.0,62.85,0.0,0.0,0.0,14,10,37,19,8,27.03,True,False,0.7143,148.019,66.15,47.06,62.85,0.0,0.0,0.0,37,0.0,0.0,-2.94,0.0,-0.1948,0,0,3,GREEN_FILTERED,True
HelpFormatter_renderOptions,commons-cli,completed,COMPLETED,11,0,17,3,14,0.0,True,False,0.0,,97.37,76.92,95.94,0.0,0.0,0.0,12,2,17,15,0,11.76,True,False,0.1667,88.567,94.74,69.23,89.34,0.0,0.0,0.0,17,11.765,-2.63,-7.69,-6.6,0.1667,2,0,1,GREEN_FILTERED,True
PatternOptionBuilder_getValueType,commons-cli,failed,SEED_UNCOMPILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base64_decode,commons-codec,completed,COMPLETED,9,8,41,28,5,19.51,True,False,0.8889,,80.56,83.33,80.93,0.0,0.0,0.0,26,10,41,26,5,24.39,True,False,0.3846,117.253,80.56,87.5,80.93,0.0,0.0,0.0,41,4.878,0.0,4.17,0.0,-0.5043,2,0,17,GREEN_FILTERED,True
QuotedPrintableCodec_encodeQuotedPrintable,commons-codec,completed,COMPLETED,1,1,42,4,37,2.38,True,True,1.0,,17.95,10.0,9.38,17.95,10.0,9.38,6,18,42,13,11,42.86,True,True,3.0,110.095,74.36,62.5,73.44,74.36,62.5,73.44,42,40.476,56.41,52.5,64.06,2.0,17,0,5,GREEN,True
Base32_decode,commons-codec,completed,COMPLETED,11,33,85,7,45,38.82,True,False,3.0,,50.0,67.86,41.42,0.0,0.0,0.0,19,36,85,8,41,42.35,True,False,1.8947,61.765,55.17,75.0,45.71,0.0,0.0,0.0,85,3.529,5.17,7.14,4.29,-1.1053,3,0,8,GREEN_FILTERED,True
Base64_encode,commons-codec,completed,COMPLETED,11,20,62,7,35,32.26,True,False,1.8182,,40.91,33.33,35.57,0.0,0.0,0.0,18,22,62,7,33,35.48,True,False,1.2222,169.687,45.45,40.0,38.38,0.0,0.0,0.0,62,3.226,4.55,6.67,2.8,-0.596,2,0,7,GREEN_FILTERED,True
DoubleMetaphone_handleG,commons-codec,completed,COMPLETED,15,6,59,18,35,10.17,True,False,0.4,,35.0,24.0,37.74,0.0,0.0,0.0,20,6,59,18,35,10.17,True,False,0.3,143.164,35.0,22.0,37.74,0.0,0.0,0.0,59,0.0,0.0,-2.0,0.0,-0.1,0,0,5,GREEN_FILTERED,True
Base32_encode,commons-codec,completed,COMPLETED,13,3,122,15,104,2.46,True,False,0.2308,,40.54,57.14,31.18,0.0,0.0,0.0,20,13,122,37,72,10.66,True,False,0.65,164.255,41.89,60.71,31.3,0.0,0.0,0.0,122,8.197,1.35,3.57,0.12,0.4192,10,0,7,GREEN_FILTERED,True
